PopID,Pop,City,Habitat,Distance,Trial,Monarchs,Oleander,Euchaetes,Tetraopes,Fly,Abundance ,Diversity,Average_Leaf_Herbivory
L8,90,London,1,2.53,Late,0,0,0,0,0,0,0,0.008
L8,90,London,1,2.53,Late,0,0,0,0,7,7,1,0.034
L8,90,London,1,2.53,Late,0,0,0,0,0,0,0,0.005
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,0,0.042
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,0,0.048
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,0,0.049
S11,91,StCatharines,1,3.13,Late,0,0,0,0,0,0,0,0.035
S11,91,StCatharines,1,3.13,Late,0,1,0,0,0,1,1,0.04
S2,92,StCatharines,1,3.09,Late,0,0,0,0,0,30,1,0.016
S2,92,StCatharines,1,3.09,Late,0,0,0,0,1,2,2,0.013
S2,92,StCatharines,1,3.09,Late,0,0,0,0,1,11,2,0.005
S2,92,StCatharines,1,3.09,Late,0,0,0,0,0,0,0,0.006
S2,92,StCatharines,1,3.09,Late,0,6,0,1,0,7,2,0.021
S4,93,StCatharines,1,0.6,Late,0,0,0,0,2,2,1,0.035
S4,93,StCatharines,1,0.6,Late,0,0,0,0,4,4,1,0.092
S4,93,StCatharines,1,0.6,Late,0,0,0,0,0,0,0,0.023
S4,93,StCatharines,1,0.6,Late,0,0,0,0,0,0,0,0.03
S4,93,StCatharines,1,0.6,Late,0,0,0,0,0,0,0,0.009
S8,94,StCatharines,2,3.51,Late,0,0,0,0,2,2,1,0.013
S8,94,StCatharines,2,3.51,Late,0,0,0,0,10,10,1,0.029
S8,94,StCatharines,2,3.51,Late,0,0,0,0,0,0,0,0.007
S8,94,StCatharines,2,3.51,Late,0,0,0,0,0,0,0,0.016
S8,94,StCatharines,2,3.51,Late,0,0,0,0,3,3,1,0.015
S9,95,StCatharines,2,4.12,Late,0,0,0,0,1,1,1,0.015
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,0,0.067
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,0,0.021
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,0,0.044
S9,95,StCatharines,2,4.12,Late,0,0,0,0,0,0,0,0.051
