PopID,Pop,City,Habitat,Distance,Trial,Monarchs,Oleander,Euchaetes,Tetraopes,Fly,Abundance ,Diversity,Average_Leaf_Herbivory
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,0,0.019
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,0,0.023
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,0,0.01
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,0,0.008
B1,67,Brantford,2,3.76,Late,0,0,0,0,0,0,0,0.081
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,0,0.116
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,0,0.249
B10,68,Brantford,2,5.04,Late,0,0,0,0,1,1,1,0.126
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,0,0.028
B10,68,Brantford,2,5.04,Late,0,0,0,0,0,0,0,0.034
B11,69,Brantford,2,5.16,Late,0,0,0,0,0,0,0,0.318
B11,69,Brantford,2,5.16,Late,0,0,0,0,9,9,1,0.267
B11,69,Brantford,2,5.16,Late,0,0,0,0,2,2,1,0.063
B11,69,Brantford,2,5.16,Late,0,0,0,0,0,0,0,0.106
B11,69,Brantford,2,5.16,Late,0,0,0,0,0,0,0,0.243
B4,70,Brantford,1,1.29,Late,0,0,0,0,3,53,2,0.008
B4,70,Brantford,1,1.29,Late,0,0,0,0,1,1,1,0.017
B4,70,Brantford,1,1.29,Late,0,0,0,0,0,0,0,0.189
B4,70,Brantford,1,1.29,Late,0,0,0,0,4,4,1,0.024
B4,70,Brantford,1,1.29,Late,0,0,0,0,4,4,1,0.173
B6,71,Brantford,1,2.57,Late,0,50,0,0,25,75,2,0.054
B6,71,Brantford,1,2.57,Late,0,75,0,0,9,84,2,0.048
B6,71,Brantford,1,2.57,Late,0,100,0,0,1,101,2,0.008
B6,71,Brantford,1,2.57,Late,0,500,0,0,7,507,2,0.112
B6,71,Brantford,1,2.57,Late,0,1000,0,0,6,1006,2,0.013
B8,72,Brantford,1,2.89,Late,0,0,0,0,0,0,0,0.027
B8,72,Brantford,1,2.89,Late,0,0,0,0,3,3,1,0.009
B8,72,Brantford,1,2.89,Late,0,0,0,0,1,1,1,0.018
B8,72,Brantford,1,2.89,Late,0,0,0,0,6,6,1,0.019
B8,72,Brantford,1,2.89,Late,0,0,0,0,10,10,1,0.014
G12,73,Guelph,1,1.67,Late,0,0,0,0,2,2,1,0.016
G12,73,Guelph,1,1.67,Late,0,0,0,0,2,2,1,0.016
G12,73,Guelph,1,1.67,Late,0,0,0,0,0,0,0,0.065
G12,73,Guelph,1,1.67,Late,0,0,0,0,0,0,0,0.009
G12,73,Guelph,1,1.67,Late,0,0,0,0,1,1,1,0.008
G15,74,Guelph,2,4.6,Late,0,0,0,0,3,3,1,0.018
G15,74,Guelph,2,4.6,Late,0,0,0,0,2,2,1,0.087
G15,74,Guelph,2,4.6,Late,0,0,0,0,0,0,0,0.049
G15,74,Guelph,2,4.6,Late,0,0,0,0,2,2,1,0.025
G15,74,Guelph,2,4.6,Late,0,0,0,0,1,1,1,0.066
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,0,0,0.065
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,0,0,0.023
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,1,1,0.075
G16,75,Guelph,2,4.2,Late,0,0,0,0,0,0,0,0.051
G16,75,Guelph,2,4.2,Late,0,0,0,0,1,1,1,0.015
G2,76,Guelph,2,4.09,Late,0,0,0,0,5,5,1,0.164
G2,76,Guelph,2,4.09,Late,0,0,0,0,0,0,0,0.001
G2,76,Guelph,2,4.09,Late,0,0,0,0,3,3,1,0.061
G2,76,Guelph,2,4.09,Late,0,0,0,0,2,2,1,0.025
G2,76,Guelph,2,4.09,Late,0,0,25,0,1,26,2,0.087
G3,77,Guelph,1,2.75,Late,0,0,0,0,2,2,1,0.041
G3,77,Guelph,1,2.75,Late,0,0,0,0,0,0,0,0.083
G3,77,Guelph,1,2.75,Late,0,0,0,0,0,0,0,0.006
G3,77,Guelph,1,2.75,Late,0,0,0,0,0,0,0,0.054
G3,77,Guelph,1,2.75,Late,0,0,0,1,2,3,2,0.065
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,0,0,0.017
G8,78,Guelph,1,2.38,Late,0,0,0,0,2,2,1,0.031
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,0,0,0.029
G8,78,Guelph,1,2.38,Late,0,0,0,0,0,0,0,0.042
G8,78,Guelph,1,2.38,Late,0,1000,0,0,0,1000,1,0.024
K1,79,Kitchner,2,6.43,Late,0,0,0,0,2,2,1,0.01
K1,79,Kitchner,2,6.43,Late,0,0,0,0,0,0,0,0.023
K1,79,Kitchner,2,6.43,Late,0,0,0,0,0,0,0,0.019
K1,79,Kitchner,2,6.43,Late,0,0,0,0,1,1,1,0.006
K1,79,Kitchner,2,6.43,Late,2,200,0,0,0,202,2,0.041
K11,80,Kitchner,1,2.31,Late,0,0,0,0,5,5,1,0.013
K11,80,Kitchner,1,2.31,Late,0,0,0,0,1,1,1,0.012
K11,80,Kitchner,1,2.31,Late,0,0,0,0,7,7,1,0.018
K11,80,Kitchner,1,2.31,Late,0,5,0,0,3,8,2,0.03
K11,80,Kitchner,1,2.31,Late,0,500,0,0,1,501,2,0.018
K17,81,Kitchner,2,6.24,Late,0,50,0,0,0,50,1,0.041
K17,81,Kitchner,2,6.24,Late,1,150,0,0,2,153,3,0.095
K17,81,Kitchner,2,6.24,Late,0,300,0,0,0,300,1,0.062
K17,81,Kitchner,2,6.24,Late,0,1000,0,0,4,1004,2,0.153
K17,81,Kitchner,2,6.24,Late,0,5000,0,0,1,5001,2,0.092
K2,82,Kitchner,1,5.28,Late,0,0,0,0,3,3,1,0.041
K2,82,Kitchner,1,5.28,Late,0,0,0,0,0,0,0,0.008
K2,82,Kitchner,1,5.28,Late,0,0,0,0,6,6,1,0.031
K2,82,Kitchner,1,5.28,Late,0,0,0,0,0,0,0,0.017
K2,82,Kitchner,1,5.28,Late,0,0,0,0,2,2,1,0.026
K5,83,Kitchner,2,7.4,Late,0,0,0,0,0,0,0,0.088
K5,83,Kitchner,2,7.4,Late,0,0,0,0,1,1,1,0.029
K5,83,Kitchner,2,7.4,Late,0,0,0,0,0,0,0,0.068
K5,83,Kitchner,2,7.4,Late,0,0,0,0,0,0,0,0.136
K5,83,Kitchner,2,7.4,Late,1,0,0,1,2,4,3,0.136
K9,84,Kitchner,1,0.76,Late,0,0,0,0,0,0,0,0.015
K9,84,Kitchner,1,0.76,Late,0,0,0,0,7,7,1,0.025
K9,84,Kitchner,1,0.76,Late,0,1,0,0,4,5,2,0.005
K9,84,Kitchner,1,0.76,Late,0,105,0,0,3,108,2,0.011
K9,84,Kitchner,1,0.76,Late,0,150,0,0,0,150,1,0.007
L14,85,London,1,1.95,Late,0,0,0,0,1,1,1,0.071
L14,85,London,1,1.95,Late,0,0,0,0,0,0,0,0.042
L14,85,London,1,1.95,Late,0,0,0,1,1,2,2,0.026
L14,85,London,1,1.95,Late,0,0,0,1,0,4,2,0.092
L14,85,London,1,1.95,Late,0,0,0,2,8,10,2,0.049
L15,86,London,2,8.04,Late,0,0,0,0,0,0,0,0.04
L15,86,London,2,8.04,Late,0,0,0,0,0,0,0,0.012
L15,86,London,2,8.04,Late,0,0,0,0,0,0,0,0.056
L15,86,London,2,8.04,Late,0,0,1,0,0,1,1,0.053
L15,86,London,2,8.04,Late,0,0,0,2,0,3,2,0.1
L16,87,London,2,7.03,Late,0,0,0,0,0,0,0,0.147
L16,87,London,2,7.03,Late,0,0,0,0,1,1,1,0.19
L6,88,London,2,6.22,Late,0,0,0,0,0,1,1,0.038
L6,88,London,2,6.22,Late,0,0,0,0,0,0,0,0.08
L6,88,London,2,6.22,Late,1,0,0,0,0,1,1,0.133
L6,88,London,2,6.22,Late,0,0,0,0,1,1,1,0.019
L6,88,London,2,6.22,Late,0,0,0,0,0,0,0,0.008
L7,89,London,1,3.95,Late,1,0,0,0,0,1,1,0.037
L7,89,London,1,3.95,Late,0,0,0,0,0,0,0,0.028
L7,89,London,1,3.95,Late,0,0,0,0,0,0,0,0.09
L7,89,London,1,3.95,Late,0,0,0,0,1,1,1,0.407
L7,89,London,1,3.95,Late,0,0,0,0,0,0,0,0.054
L8,90,London,1,2.53,Late,0,0,0,0,0,0,0,0.094
L8,90,London,1,2.53,Late,1,0,0,0,10,11,2,0.028
