Population_ID,Pop,City,Plant ,Lat,Long,Distance,Urban,Trial,Danaus,Rhysomatus,Aphis_nerii,Myzocallis,Euchaetes,Lygaeus,Oncopeltus,Tetraopes,Liriomyza
AS034,34,Toronto,3,43.399222,-79.930576,32.77,rural,Late,0,0,0,0,0,0,0,0,4
AS034,34,Toronto,4,43.399222,-79.930576,32.77,rural,Late,0,0,0,0,0,0,0,0,0
AS034,34,Toronto,5,43.399222,-79.930576,32.77,rural,Late,0,0,0,0,0,0,0,0,1
AS035,35,Toronto,1,43.377146,-79.973861,35.42,rural,Early,0,0,0,0,0,0,0,0,0
AS035,35,Toronto,2,43.377146,-79.973861,35.42,rural,Early,0,0,0,0,0,0,0,0,0
AS035,35,Toronto,3,43.377146,-79.973861,35.42,rural,Early,0,0,0,0,0,0,0,0,0
AS035,35,Toronto,4,43.377146,-79.973861,35.42,rural,Early,0,0,0,0,0,0,0,0,0
AS035,35,Toronto,5,43.377146,-79.973861,35.42,rural,Early,0,0,0,0,0,0,0,0,0
AS035,35,Toronto,1,43.377146,-79.973861,35.42,rural,Early,2,0,0,0,0,0,0,0,0
AS035,35,Toronto,2,43.377146,-79.973861,35.42,rural,Early,1,0,0,0,0,0,0,0,0
AS035,35,Toronto,3,43.377146,-79.973861,35.42,rural,Early,1,0,0,0,0,0,0,0,0
AS035,35,Toronto,4,43.377146,-79.973861,35.42,rural,Early,2,0,0,0,0,0,0,0,1
AS035,35,Toronto,5,43.377146,-79.973861,35.42,rural,Early,0,0,0,0,0,0,0,0,1
AS035,35,Toronto,1,43.377146,-79.973861,35.42,rural,Late,0,0,0,0,0,0,0,0,2
AS035,35,Toronto,2,43.377146,-79.973861,35.42,rural,Late,0,0,0,0,0,0,0,0,0
AS035,35,Toronto,3,43.377146,-79.973861,35.42,rural,Late,1,0,0,0,0,0,0,0,0
AS035,35,Toronto,4,43.377146,-79.973861,35.42,rural,Late,0,0,0,0,50,0,0,0,0
AS035,35,Toronto,5,43.377146,-79.973861,35.42,rural,Late,5,0,0,0,0,0,0,0,0
