PopID,Pop,City,Urban,Distance,Trial,Height_cm,Monarchs,Rhysomatus,Oleander,Green_aphid,Myzocallis,Euchaetes,Lygaeus,Oncopeltus,Tetraopes,Leaf_Beetle,Fly,Abundance ,Diversity,Average_Leaf_Herbivory,Height_Scars_cm
AS036,20,Toronto,rural,35.98,Early,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0
AS037,21,Toronto,rural,37.66,Early,45,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AS037,21,Toronto,rural,37.66,Early,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,2.3
AS039,22,Toronto,urban,5.42,Early,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS039,22,Toronto,urban,5.42,Early,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0
AS039,22,Toronto,urban,5.42,Early,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
AS039,22,Toronto,urban,5.42,Early,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS039,22,Toronto,urban,5.42,Early,82.5,0,0,0,0,0,0,0,0,0,0,3,3,1,0.004,0
AS040,23,Toronto,urban,5.82,Early,68.5,2,0,0,0,0,0,0,0,0,0,0,1,1,0.008,0
AS040,23,Toronto,urban,5.82,Early,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
AS040,23,Toronto,urban,5.82,Early,22.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0.015,0
AS040,23,Toronto,urban,5.82,Early,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0
AS040,23,Toronto,urban,5.82,Early,26.1,0,0,15,0,0,0,0,0,0,0,0,15,1,0,0
AS041,24,Toronto,urban,5.7,Early,127,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AS041,24,Toronto,urban,5.7,Early,71.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0
AS041,24,Toronto,urban,5.7,Early,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS041,24,Toronto,urban,5.7,Early,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS041,24,Toronto,urban,5.7,Early,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS042,25,Toronto,urban,6.17,Early,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
AS042,25,Toronto,urban,6.17,Early,83.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS042,25,Toronto,urban,6.17,Early,128.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0
AS042,25,Toronto,urban,6.17,Early,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
AS042,25,Toronto,urban,6.17,Early,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0
AS043,26,Toronto,urban,7.4,Early,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0
AS043,26,Toronto,urban,7.4,Early,152,0,0,0,0,0,0,0,0,1,0,0,1,1,0.058,0
AS043,26,Toronto,urban,7.4,Early,130.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0
AS043,26,Toronto,urban,7.4,Early,153.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0
AS043,26,Toronto,urban,7.4,Early,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0
AS044,27,Toronto,urban,7.79,Early,94,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AS044,27,Toronto,urban,7.79,Early,97.2,0,0,0,0,0,0,0,0,0,0,1,1,1,0.003,0
AS044,27,Toronto,urban,7.79,Early,89.5,0,0,0,0,0,0,0,0,0,0,1,1,1,0.004,0
AS044,27,Toronto,urban,7.79,Early,103,0,0,0,0,0,0,0,0,0,0,1,1,1,0.007,0
AS044,27,Toronto,urban,7.79,Early,113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
AS046,28,Toronto,rural,39.03,Early,76,0,2,0,0,0,0,0,0,0,0,0,2,1,0.004,0
AS046,28,Toronto,rural,39.03,Early,83,0,0,0,0,0,0,0,0,1,0,0,1,1,0.376,12.2
AS046,28,Toronto,rural,39.03,Early,95,0,0,0,0,0,0,0,0,2,0,0,2,1,0.038,17.9
AS046,28,Toronto,rural,39.03,Early,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,18.1
AS046,28,Toronto,rural,39.03,Early,63,0,1,0,0,0,0,0,0,0,0,0,1,1,0.235,17.3
AS047,29,Toronto,rural,39.49,Early,40,0,1,0,0,0,0,0,0,0,0,0,1,1,0.085,1.4
AS047,29,Toronto,rural,39.49,Early,52,0,0,0,0,0,0,1,0,1,0,0,2,2,0.148,7
AS047,29,Toronto,rural,39.49,Early,36,0,0,0,0,0,0,0,0,1,0,0,1,1,0.075,0
AS047,29,Toronto,rural,39.49,Early,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS047,29,Toronto,rural,39.49,Early,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS047,29,Toronto,rural,39.49,Early,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,6.4
AS047,29,Toronto,rural,39.49,Early,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS047,29,Toronto,rural,39.49,Early,110,0,1,0,0,0,0,0,0,0,0,1,2,2,0.015,1.2
AS047,29,Toronto,rural,39.49,Early,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS047,29,Toronto,rural,39.49,Early,168,0,0,0,0,0,0,0,0,1,0,1,2,2,0.008,0
AS048,30,Toronto,rural,41.74,Early,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,2.5
AS048,30,Toronto,rural,41.74,Early,81,0,0,0,0,0,0,0,0,0,0,4,4,1,0.02,0
AS048,30,Toronto,rural,41.74,Early,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS048,30,Toronto,rural,41.74,Early,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0
AS048,30,Toronto,rural,41.74,Early,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0
AS049,31,Toronto,rural,40.74,Early,83.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
AS049,31,Toronto,rural,40.74,Early,92,0,0,0,0,0,0,0,0,2,0,0,2,1,0.059,0
AS049,31,Toronto,rural,40.74,Early,60,0,0,0,0,0,0,0,0,0,0,2,2,1,0.01,0
AS049,31,Toronto,rural,40.74,Early,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0
AS049,31,Toronto,rural,40.74,Early,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
AS050,32,Toronto,urban,8.73,Early,82,2,0,0,0,0,0,0,0,0,0,5,5,2,0.052,0
AS050,32,Toronto,urban,8.73,Early,126,5,0,0,0,0,0,0,0,0,0,4,5,2,0.04,0
AS050,32,Toronto,urban,8.73,Early,84.5,1,0,0,0,0,0,0,0,0,0,1,1,2,0.009,0
AS050,32,Toronto,urban,8.73,Early,38,3,0,0,0,0,0,0,0,0,0,0,3,1,0.054,0
AS050,32,Toronto,urban,8.73,Early,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS051,33,Toronto,urban,8.97,Early,113,9,0,0,0,0,0,0,0,1,0,2,5,3,0.052,0
AS051,33,Toronto,urban,8.97,Early,107,3,0,0,0,0,0,0,0,1,0,1,2,3,0.011,0
AS051,33,Toronto,urban,8.97,Early,49,5,0,0,0,0,0,0,0,1,0,0,1,2,0.005,0
AS051,33,Toronto,urban,8.97,Early,67,1,0,0,0,0,0,0,0,0,0,5,5,2,0.04,0
AS051,33,Toronto,urban,8.97,Early,31,1,0,0,0,0,0,0,0,0,0,4,4,2,0.153,0
AS052,34,Toronto,urban,9.6,Early,103,2,0,0,0,0,0,0,0,0,0,2,3,2,0.016,0
AS052,34,Toronto,urban,9.6,Early,105,0,0,0,0,0,0,0,0,0,0,2,2,1,0.026,0
AS052,34,Toronto,urban,9.6,Early,113,1,0,0,0,0,0,0,0,0,0,1,2,2,0.005,0
AS052,34,Toronto,urban,9.6,Early,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS052,34,Toronto,urban,9.6,Early,128,0,0,0,0,0,0,0,0,0,0,3,3,1,0.03,0
AS053,35,Toronto,urban,9.85,Early,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0
AS053,35,Toronto,urban,9.85,Early,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0
AS053,35,Toronto,urban,9.85,Early,66,0,0,0,0,0,0,0,0,0,0,1,1,1,0.064,0
AS053,35,Toronto,urban,9.85,Early,85,0,0,0,0,0,0,0,0,0,0,1,1,1,0.021,0
AS053,35,Toronto,urban,9.85,Early,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
AS054,36,Toronto,urban,9.62,Early,80,2,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0.4
AS054,36,Toronto,urban,9.62,Early,24,0,0,0,0,0,0,0,0,0,0,2,2,1,0.015,2.3
AS054,36,Toronto,urban,9.62,Early,67.5,1,0,0,0,0,0,0,0,0,0,2,2,2,0.083,0
AS054,36,Toronto,urban,9.62,Early,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0
AS054,36,Toronto,urban,9.62,Early,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS055,37,Toronto,urban,9.83,Early,28,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AS055,37,Toronto,urban,9.83,Early,27.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AS055,37,Toronto,urban,9.83,Early,35,2,0,0,0,0,0,0,0,0,0,0,1,1,0.023,0
AS055,37,Toronto,urban,9.83,Early,39,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AS055,37,Toronto,urban,9.83,Early,31,2,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0
AS056,38,Toronto,rural,40.2,Early,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,10
AS056,38,Toronto,rural,40.2,Early,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0
AS056,38,Toronto,rural,40.2,Early,65,1,0,0,0,0,0,0,0,0,0,0,0,1,0.001,0
AS056,38,Toronto,rural,40.2,Early,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0
AS056,38,Toronto,rural,40.2,Early,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,4.2
AS057,39,Toronto,rural,38.18,Early,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
AS057,39,Toronto,rural,38.18,Early,71,0,0,0,0,0,0,0,0,0,0,7,7,1,0.06,0
AS057,39,Toronto,rural,38.18,Early,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,8.7
AS057,39,Toronto,rural,38.18,Early,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,2.5
AS057,39,Toronto,rural,38.18,Early,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,21.5
AS058,40,Toronto,rural,36.64,Early,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0
AS058,40,Toronto,rural,36.64,Early,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS058,40,Toronto,rural,36.64,Early,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS059,41,Toronto,rural,36.19,Early,91,0,0,0,0,0,0,0,0,0,0,2,2,1,0.004,0
AS059,41,Toronto,rural,36.19,Early,102,0,0,0,0,0,0,0,0,0,0,1,1,1,0.004,0
AS059,41,Toronto,rural,36.19,Early,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS059,41,Toronto,rural,36.19,Early,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
AS059,41,Toronto,rural,36.19,Early,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
AS060,42,Toronto,urban,20.77,Early,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,3.2
AS060,42,Toronto,urban,20.77,Early,69,0,0,0,0,0,0,0,0,0,0,1,1,1,0.008,0
AS060,42,Toronto,urban,20.77,Early,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,5.5
AS060,42,Toronto,urban,20.77,Early,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,6.8
AS060,42,Toronto,urban,20.77,Early,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1.2
AS062,43,Toronto,urban,19.51,Early,113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS062,43,Toronto,urban,19.51,Early,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS062,43,Toronto,urban,19.51,Early,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS062,43,Toronto,urban,19.51,Early,110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS062,43,Toronto,urban,19.51,Early,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,11.7
AS063,43,Toronto,urban,19,Early,119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS063,43,Toronto,urban,19,Early,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,7.9
AS063,43,Toronto,urban,19,Early,86,1,0,0,0,0,0,0,0,0,0,1,2,2,0.007,0
AS063,43,Toronto,urban,19,Early,78,2,0,0,0,0,0,0,0,0,0,1,1,2,0.092,6
AS063,43,Toronto,urban,19,Early,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,3.5
